2024-06-07 16:04:04,994 INFO    StreamThr :2918 [internal.py:wandb_internal():85] W&B internal server running at pid: 2918, started at: 2024-06-07 16:04:04.994210
2024-06-07 16:04:04,995 DEBUG   HandlerThread:2918 [handler.py:handle_request():158] handle_request: status
2024-06-07 16:04:04,997 INFO    WriterThread:2918 [datastore.py:open_for_write():87] open: checkpoints/mp-2024/20240607-160353/wandb/run-20240607_160404-lsw53cd5/run-lsw53cd5.wandb
2024-06-07 16:04:04,998 DEBUG   SenderThread:2918 [sender.py:send():379] send: header
2024-06-07 16:04:05,000 DEBUG   SenderThread:2918 [sender.py:send():379] send: run
2024-06-07 16:04:05,005 INFO    SenderThread:2918 [sender.py:_setup_resume():749] checking resume status for None/mp_test/lsw53cd5
2024-06-07 16:04:05,557 INFO    SenderThread:2918 [dir_watcher.py:__init__():211] watching files in: checkpoints/mp-2024/20240607-160353/wandb/run-20240607_160404-lsw53cd5/files
2024-06-07 16:04:05,557 INFO    SenderThread:2918 [sender.py:_start_run_threads():1188] run started: lsw53cd5 with start time 1717776244.994198
2024-06-07 16:04:05,568 DEBUG   HandlerThread:2918 [handler.py:handle_request():158] handle_request: check_version
2024-06-07 16:04:05,568 DEBUG   SenderThread:2918 [sender.py:send_request():406] send_request: check_version
2024-06-07 16:04:05,657 DEBUG   HandlerThread:2918 [handler.py:handle_request():158] handle_request: run_start
2024-06-07 16:04:05,665 DEBUG   HandlerThread:2918 [system_info.py:__init__():26] System info init
2024-06-07 16:04:05,665 DEBUG   HandlerThread:2918 [system_info.py:__init__():41] System info init done
2024-06-07 16:04:05,665 INFO    HandlerThread:2918 [system_monitor.py:start():194] Starting system monitor
2024-06-07 16:04:05,665 INFO    SystemMonitor:2918 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-06-07 16:04:05,665 INFO    HandlerThread:2918 [system_monitor.py:probe():214] Collecting system info
2024-06-07 16:04:05,666 INFO    SystemMonitor:2918 [interfaces.py:start():188] Started cpu monitoring
2024-06-07 16:04:05,666 INFO    SystemMonitor:2918 [interfaces.py:start():188] Started disk monitoring
2024-06-07 16:04:05,667 INFO    SystemMonitor:2918 [interfaces.py:start():188] Started gpu monitoring
2024-06-07 16:04:05,667 INFO    SystemMonitor:2918 [interfaces.py:start():188] Started memory monitoring
2024-06-07 16:04:05,668 INFO    SystemMonitor:2918 [interfaces.py:start():188] Started network monitoring
2024-06-07 16:04:05,685 DEBUG   HandlerThread:2918 [system_info.py:probe():152] Probing system
2024-06-07 16:04:05,687 DEBUG   HandlerThread:2918 [system_info.py:_probe_git():137] Probing git
2024-06-07 16:04:05,692 DEBUG   HandlerThread:2918 [system_info.py:_probe_git():145] Probing git done
2024-06-07 16:04:05,692 DEBUG   HandlerThread:2918 [system_info.py:probe():200] Probing system done
